"","values","method"
"1",1.23236662698683,"PSM"
"2",1.22207240032996,"AIPW"
"3",1.5065551010786,"DML (XGBoost)"
"4",1.12977214327016,"DML (SVM)"
"5",1.02085217953089,"PSM"
"6",0.698270683267576,"AIPW"
"7",1.45494754842317,"DML (XGBoost)"
"8",0.966885066416769,"DML (SVM)"
"9",1.00762245146385,"PSM"
"10",1.09190956046368,"AIPW"
"11",1.49514420547075,"DML (XGBoost)"
"12",1.10764894165536,"DML (SVM)"
"13",1.21049426390695,"PSM"
"14",1.23381437290748,"AIPW"
"15",1.53854322480541,"DML (XGBoost)"
"16",1.12706400701567,"DML (SVM)"
"17",1.07509183711445,"PSM"
"18",1.00984692270183,"AIPW"
"19",1.35431200568476,"DML (XGBoost)"
"20",1.01032431483185,"DML (SVM)"
"21",1.10815067489023,"PSM"
"22",1.2164856278293,"AIPW"
"23",1.55970875216614,"DML (XGBoost)"
"24",1.03123704884386,"DML (SVM)"
"25",0.974553689862184,"PSM"
"26",1.01991754984838,"AIPW"
"27",1.51813116606858,"DML (XGBoost)"
"28",1.10271449127414,"DML (SVM)"
"29",1.4828216269551,"PSM"
"30",1.25396522102987,"AIPW"
"31",1.55297854705343,"DML (XGBoost)"
"32",0.994436445748434,"DML (SVM)"
"33",0.881229114105331,"PSM"
"34",0.851589014431825,"AIPW"
"35",1.46721476639955,"DML (XGBoost)"
"36",1.04406239205981,"DML (SVM)"
"37",1.23806962706572,"PSM"
"38",1.19868470047825,"AIPW"
"39",1.63920754324893,"DML (XGBoost)"
"40",1.13966692377632,"DML (SVM)"
"41",0.765684365250738,"PSM"
"42",0.825488486421846,"AIPW"
"43",1.2988208035874,"DML (XGBoost)"
"44",0.968957119361849,"DML (SVM)"
"45",1.24449751748798,"PSM"
"46",1.13708482580557,"AIPW"
"47",1.44801773420013,"DML (XGBoost)"
"48",1.00808327694561,"DML (SVM)"
"49",0.991370175899863,"PSM"
"50",0.944194065417347,"AIPW"
"51",1.48530201161268,"DML (XGBoost)"
"52",1.04229555787291,"DML (SVM)"
"53",0.977202962634705,"PSM"
"54",1.04009154979714,"AIPW"
"55",1.40986550179651,"DML (XGBoost)"
"56",0.945593156057223,"DML (SVM)"
"57",1.06455202796694,"PSM"
"58",0.913232105662645,"AIPW"
"59",1.363351351384,"DML (XGBoost)"
"60",0.987127695486768,"DML (SVM)"
"61",0.917872843386215,"PSM"
"62",0.912542245520544,"AIPW"
"63",1.41258968027832,"DML (XGBoost)"
"64",0.957738910898266,"DML (SVM)"
"65",0.891860379174178,"PSM"
"66",0.996810701598487,"AIPW"
"67",1.43237581768862,"DML (XGBoost)"
"68",1.05447657451281,"DML (SVM)"
"69",1.00617896904954,"PSM"
"70",1.00680536445307,"AIPW"
"71",1.39549573243183,"DML (XGBoost)"
"72",1.03864686652108,"DML (SVM)"
"73",0.970919223660525,"PSM"
"74",1.11402082117764,"AIPW"
"75",1.52544484769132,"DML (XGBoost)"
"76",1.16021987877652,"DML (SVM)"
"77",1.129393639834,"PSM"
"78",1.02655212993003,"AIPW"
"79",1.49373223813908,"DML (XGBoost)"
"80",1.00283921638267,"DML (SVM)"
"81",0.880954190614535,"PSM"
"82",0.897154791975888,"AIPW"
"83",1.37054021440395,"DML (XGBoost)"
"84",0.92580533440908,"DML (SVM)"
"85",0.939679717591096,"PSM"
"86",1.01605489372592,"AIPW"
"87",1.45030394880568,"DML (XGBoost)"
"88",1.02447611901744,"DML (SVM)"
