"","values","method"
"1",1.53635384588047,"PSM"
"2",1.64782793136452,"AIPW"
"3",1.32835268024191,"DML (XGBoost)"
"4",0.896127958749753,"DML (SVM)"
"5",1.92982425736586,"PSM"
"6",1.83748637070233,"AIPW"
"7",1.50834394599022,"DML (XGBoost)"
"8",1.05566140609793,"DML (SVM)"
"9",1.77046409857834,"PSM"
"10",1.76216307152837,"AIPW"
"11",1.38459679698745,"DML (XGBoost)"
"12",0.986030488814236,"DML (SVM)"
"13",1.8446281681063,"PSM"
"14",1.90574879071893,"AIPW"
"15",1.58401415444113,"DML (XGBoost)"
"16",1.11624795452299,"DML (SVM)"
"17",1.79023420331979,"PSM"
"18",1.66652373019278,"AIPW"
"19",1.3897765830881,"DML (XGBoost)"
"20",1.02691575266824,"DML (SVM)"
"21",1.83496387636336,"PSM"
"22",1.91111534167335,"AIPW"
"23",1.49693009295426,"DML (XGBoost)"
"24",0.976146328429982,"DML (SVM)"
"25",1.83063204764797,"PSM"
"26",1.68368414817195,"AIPW"
"27",1.47032227955554,"DML (XGBoost)"
"28",0.991402419048622,"DML (SVM)"
"29",1.85423349936839,"PSM"
"30",1.81938731764169,"AIPW"
"31",1.44312805299185,"DML (XGBoost)"
"32",1.02933576276831,"DML (SVM)"
"33",1.9005780848259,"PSM"
"34",1.82046489000279,"AIPW"
"35",1.57685599992751,"DML (XGBoost)"
"36",1.06755815660834,"DML (SVM)"
"37",1.77140985047577,"PSM"
"38",1.83941364556572,"AIPW"
"39",1.47286050630875,"DML (XGBoost)"
"40",0.954005688515452,"DML (SVM)"
"41",1.52511373354618,"PSM"
"42",1.60500632810436,"AIPW"
"43",1.24583690307648,"DML (XGBoost)"
"44",0.966648398498889,"DML (SVM)"
"45",2.04169900717759,"PSM"
"46",2.00010098571215,"AIPW"
"47",1.52538107761694,"DML (XGBoost)"
"48",1.02410557237829,"DML (SVM)"
"49",1.64128895334472,"PSM"
"50",1.70330441736869,"AIPW"
"51",1.38937517720513,"DML (XGBoost)"
"52",1.01183765335533,"DML (SVM)"
"53",1.8717630404268,"PSM"
"54",1.89415793883093,"AIPW"
"55",1.45002285772779,"DML (XGBoost)"
"56",0.996237861771204,"DML (SVM)"
"57",1.83845360792229,"PSM"
"58",1.851446636559,"AIPW"
"59",1.49700307871223,"DML (XGBoost)"
"60",1.06510439191638,"DML (SVM)"
"61",1.94415114027789,"PSM"
"62",1.82194993372926,"AIPW"
"63",1.46192639727634,"DML (XGBoost)"
"64",0.990887094307516,"DML (SVM)"
"65",1.69176166975677,"PSM"
"66",1.68507316584376,"AIPW"
"67",1.31061352164937,"DML (XGBoost)"
"68",0.983594123720948,"DML (SVM)"
"69",1.98962279468224,"PSM"
"70",1.84097347408995,"AIPW"
"71",1.3916102317508,"DML (XGBoost)"
"72",0.991533434751249,"DML (SVM)"
"73",1.78541864416136,"PSM"
"74",1.87920812075147,"AIPW"
"75",1.37634389310772,"DML (XGBoost)"
"76",0.998028566747763,"DML (SVM)"
"77",1.54709232807914,"PSM"
"78",1.73477201366413,"AIPW"
"79",1.30583900754465,"DML (XGBoost)"
"80",1.01349223948125,"DML (SVM)"
