"","values","method"
"1",0.954886254845205,"PSM"
"2",1.06555446322953,"AIPW"
"3",1.39116339250288,"DML (XGBoost)"
"4",1.0243276202226,"DML (SVM)"
"5",0.92547075722365,"PSM"
"6",0.872660648441642,"AIPW"
"7",1.42081728844811,"DML (XGBoost)"
"8",0.989029374935714,"DML (SVM)"
"9",1.55207047449735,"PSM"
"10",1.23748713344222,"AIPW"
"11",1.53030325867463,"DML (XGBoost)"
"12",1.06176215804698,"DML (SVM)"
"13",1.09890475359372,"PSM"
"14",0.990958791728535,"AIPW"
"15",1.43553292743986,"DML (XGBoost)"
"16",0.998731915028848,"DML (SVM)"
"17",1.12450057140386,"PSM"
"18",0.979812416196362,"AIPW"
"19",1.53671698818571,"DML (XGBoost)"
"20",1.05175148826934,"DML (SVM)"
"21",0.793075093144417,"PSM"
"22",0.975790440061696,"AIPW"
"23",1.28916143074,"DML (XGBoost)"
"24",1.02046738367036,"DML (SVM)"
"25",1.10008228796139,"PSM"
"26",1.14671756663887,"AIPW"
"27",1.49246890436311,"DML (XGBoost)"
"28",1.05412641167203,"DML (SVM)"
"29",1.20556203947361,"PSM"
"30",1.23532679057857,"AIPW"
"31",1.51294775114431,"DML (XGBoost)"
"32",1.11701737931306,"DML (SVM)"
"33",0.827519171902061,"PSM"
"34",0.968454287596746,"AIPW"
"35",1.3744400992783,"DML (XGBoost)"
"36",0.981763508683557,"DML (SVM)"
"37",1.16146435976732,"PSM"
"38",1.14443136103346,"AIPW"
"39",1.48333759043713,"DML (XGBoost)"
"40",1.16943924280244,"DML (SVM)"
"41",1.13958334627746,"PSM"
"42",1.14546393047343,"AIPW"
"43",1.43168022799507,"DML (XGBoost)"
"44",1.05868947088081,"DML (SVM)"
"45",1.16212980532712,"PSM"
"46",1.10541331432826,"AIPW"
"47",1.41531204822944,"DML (XGBoost)"
"48",0.955586124178743,"DML (SVM)"
"49",1.00189690743957,"PSM"
"50",0.867151916395301,"AIPW"
"51",1.36469738915085,"DML (XGBoost)"
"52",0.917414192986018,"DML (SVM)"
"53",1.09349539900164,"PSM"
"54",1.0785359128599,"AIPW"
"55",1.38435642197355,"DML (XGBoost)"
"56",1.03889602076043,"DML (SVM)"
"57",1.08492503585644,"PSM"
"58",0.614383511588323,"AIPW"
"59",1.41198156403623,"DML (XGBoost)"
"60",1.04297897102246,"DML (SVM)"
"61",1.00668287233437,"PSM"
"62",1.1311226092997,"AIPW"
"63",1.54034400671596,"DML (XGBoost)"
"64",1.04441110216094,"DML (SVM)"
"65",1.01647806709132,"PSM"
"66",1.14625601563808,"AIPW"
"67",1.49633682391137,"DML (XGBoost)"
"68",1.08024493414546,"DML (SVM)"
"69",0.925601763453425,"PSM"
"70",0.895559292864151,"AIPW"
"71",1.34469370037295,"DML (XGBoost)"
"72",0.928445274107897,"DML (SVM)"
"73",1.09321114834546,"PSM"
"74",1.13325413262708,"AIPW"
"75",1.46930388088774,"DML (XGBoost)"
"76",1.06063268509186,"DML (SVM)"
"77",0.858834751431648,"PSM"
"78",1.07047188579132,"AIPW"
"79",1.51598110665258,"DML (XGBoost)"
"80",1.03618461023343,"DML (SVM)"
"81",1.11610116746255,"PSM"
"82",1.22044699117456,"AIPW"
"83",1.60420961453024,"DML (XGBoost)"
"84",1.17528607566793,"DML (SVM)"
"85",0.897660711396228,"PSM"
"86",1.00716163640249,"AIPW"
"87",1.53480688972398,"DML (XGBoost)"
"88",1.02027310009472,"DML (SVM)"
"89",0.815415205436177,"PSM"
"90",1.08656926937994,"AIPW"
"91",1.4589602464005,"DML (XGBoost)"
"92",0.945434397602472,"DML (SVM)"
"93",0.903954688962271,"PSM"
"94",1.16492904189127,"AIPW"
"95",1.50541124473979,"DML (XGBoost)"
