"","values","method"
"1",1.78357014560974,"PSM"
"2",1.07765236707345,"AIPW"
"3",1.51874423517145,"DML (XGBoost)"
"4",1.09774422414052,"DML (SVM)"
"5",1.7879493789807,"PSM"
"6",0.992918442824219,"AIPW"
"7",1.36988188360823,"DML (XGBoost)"
"8",0.89101277446423,"DML (SVM)"
"9",1.79914258506157,"PSM"
"10",0.945517445958311,"AIPW"
"11",1.51843616482438,"DML (XGBoost)"
"12",1.0578388803001,"DML (SVM)"
"13",1.79687327123205,"PSM"
"14",1.0853454369617,"AIPW"
"15",1.40953634802746,"DML (XGBoost)"
"16",0.977724372673835,"DML (SVM)"
"17",1.83197885052237,"PSM"
"18",0.972468528565673,"AIPW"
"19",1.44183292096328,"DML (XGBoost)"
"20",0.947893125296702,"DML (SVM)"
"21",1.97861108281884,"PSM"
"22",1.0175138365881,"AIPW"
"23",1.47734531566954,"DML (XGBoost)"
"24",0.920327070736289,"DML (SVM)"
"25",1.7064130450673,"PSM"
"26",0.86911306719045,"AIPW"
"27",1.33397824408395,"DML (XGBoost)"
"28",0.899836083545528,"DML (SVM)"
"29",1.81284452143007,"PSM"
"30",0.980511127977667,"AIPW"
"31",1.43181757714021,"DML (XGBoost)"
"32",0.942725474705252,"DML (SVM)"
"33",1.97251690902677,"PSM"
"34",1.0084512507813,"AIPW"
"35",1.48544303030525,"DML (XGBoost)"
"36",0.9647846563292,"DML (SVM)"
"37",1.72605969036383,"PSM"
"38",1.01915959641358,"AIPW"
"39",1.44871138249273,"DML (XGBoost)"
"40",1.07110531023089,"DML (SVM)"
"41",1.72798007369784,"PSM"
"42",1.08307716729378,"AIPW"
"43",1.40342807174205,"DML (XGBoost)"
"44",1.01014984062393,"DML (SVM)"
"45",1.89416737718582,"PSM"
"46",1.194472000426,"AIPW"
"47",1.56776412614496,"DML (XGBoost)"
"48",1.15365594101233,"DML (SVM)"
"49",1.74757983875637,"PSM"
"50",0.916657945111125,"AIPW"
"51",1.33960483559399,"DML (XGBoost)"
"52",1.01333257863654,"DML (SVM)"
"53",1.80451444944306,"PSM"
"54",0.975869562777884,"AIPW"
"55",1.42886939483172,"DML (XGBoost)"
"56",1.04147624410414,"DML (SVM)"
"57",1.95550564090813,"PSM"
"58",0.912375358566556,"AIPW"
